Year,Artist,Song,CompressedRatio
1967,ed ames,my cup runneth over,42
1977,heart,barracuda,42.045
1980,anne murray,daydream believer,42.063
1977,al stewart,year of the cat,42.105
1970,tyrone davis,turn back the hands of time,42.138
1977,rod stewart,tonights the night gonna be alright,42.208
1968,classics iv,spooky,42.222
1989,milli vanilli,girl im gonna miss you,42.233
1995,vanessa williams,the sweetest days,42.282
1971,helen reddy,i dont know how to love him,42.286
1966,roger williams,born free,42.308
1988,the bangles,a hazy shade of winter,42.331
1985,whitney houston,saving all my love for you,42.373
1989,love and rockets,so alive,42.373
1996,goo goo dolls,name,42.487
1981,alabama,feels so right,42.5
1967,buffalo springfield,for what its worth,42.529
1970,the hollies,he aint heavy hes my brother,42.537
1992,marky mark and the funky bunch,wildside,42.572
1971,sammi smith,help me make it through the night,42.623
1976,steve miller band,take the money and run,42.623
1976,candi staton,young hearts run free,42.654
1969,bob seger system,ramblin gamblin man,42.771
2004,kanye west,through the wire,42.786
1966,the surfaris,wipe out,42.857
1966,ray conniff singers,somewhere my love,42.857
1977,helen reddy,youre my world,42.857
1965,the kingsmen,the jolly green giant,42.922
1968,john fred  his playboy band,judy in disguise with glasses,42.991
1975,jessi colter,im not lisa,42.991
1969,donovan,atlantis,43.137
1969,tommy james and the shondells,crimson and clover,43.333
1999,tim mcgraw,please remember me,43.333
1994,warren g,this dj,43.342
1973,the carpenters,sing,43.373
1969,henry mancini,love theme from romeo and juliet,43.382
1973,gilbert osullivan,clair,43.478
1994,crash test dummies,mmm mmm mmm mmm,43.478
1966,johnny rivers,poor side of town,43.523
1966,the lovin spoonful,daydream,43.523
1994,tim mcgraw,indian outlaw,43.534
1985,john cougar mellencamp,lonely ol night,43.558
1985,lionel richie,penny lover,43.564
1968,the supremes,love child,43.59
1978,dan hill,sometimes when we touch,43.59
1966,the vogues,five oclock world,43.605
1984,irene cara,breakdance,43.624
1965,the strangeloves,i want candy,43.651
1967,five americans,western union,43.678
1991,tara kemp,piece of my heart,43.697
1965,dickey lee,laurie strange things happen,43.75
1968,friend  lover,reach out of the darkness,43.75
1974,olivia newtonjohn,i honestly love you,43.784
1986,zz top,sleeping bag,43.796
1967,the buckinghams,mercy mercy mercy,43.86
1970,elvis presley,the wonder of you,43.878
1977,stevie wonder,i wish,43.902
1992,amy grant,i will remember you,43.902
1966,percy sledge,when a man loves a woman,43.915
1993,arrested development,mr wendal,43.919
1977,ronnie milsap,it was almost like a song,43.925
1988,taylor dayne,ill always love you,43.931
2013,ylvis,the fox what does the fox say,43.946
1981,steely dan,hey nineteen,44.099
1965,gary lewis  the playboys,save your heart for me,44.118
1984,peter schilling,major tom coming home,44.144
1998,pras michel featuring ol dirty bastard and m'ya,ghetto supastar that is what you are,44.151
1979,supertramp,the logical song,44.221
1980,carole king,one fine day,44.248
1967,frank  nancy sinatra,somethin stupid,44.253
1972,al green,lets stay together,44.361
2000,leann rimes,i need you,44.371
1971,marvin gaye,mercy mercy me the ecology,44.444
1973,helen reddy,peaceful,44.444
1992,joe public,live and learn,44.444
1986,dream academy,life in a northern town,44.512
1969,neil diamond,sweet caroline,44.604
1978,gerry rafferty,baker street,44.643
1975,john denver,im sorry,44.681
1966,sandy posey,born a woman,44.715
1981,tierra,together,44.762
1997,scarface featuring 2pac and johnny p,smile,44.828
1966,count five,psychotic reaction,44.944
1977,bread,lost without your love,44.966
1992,richard marx,hazard,44.976
1968,the animals,sky pilot,45
2009,billy currington,people are crazy,45.041
1999,will smith,miami,45.106
1980,bob seger,fire lake,45.109
1987,lou gramm,midnight blue,45.122
1973,ohio players,funky worm,45.133
2002,kenny chesney,the good stuff,45.152
1973,deep purple,smoke on the water,45.161
1978,commodores,three times a lady,45.192
1965,james brown,papas got a brand new bag,45.217
1979,al stewart,time passages,45.283
1986,force mds,tender love,45.312
1996,dangelo,lady,45.32
1981,don mclean,crying,45.39
1969,spiral starecase,more today than yesterday,45.395
1993,digable planets,rebirth of slick cool like dat,45.525
1996,junior mafia featuring the notorious big,get money,45.528
1967,peter paul and mary,i dig rock and roll music,45.556
2004,outkast,hey ya,45.562
1967,blues magoos,we aint got nothin yet,45.578
2004,los lonely boys,heaven,45.6
1987,lionel richie,ballerina girl,45.614
1992,cece peniston,we got a love thang,45.614
1999,shawn mullins,lullaby,45.614
1981,hall  oates,you make my dreams,45.638
1966,brenda lee,coming on strong,45.669
1973,edgar winter group,free ride,45.69
1982,van halen,oh pretty woman,45.695
1980,bette midler,the rose,45.833
1970,sugarloaf,greeneyed lady,45.918
1979,bad company,rock n roll fantasy,45.926
2001,evan and jaron,crazy for this girl,45.946
1990,sinead oconnor,nothing compares 2 u,45.972
1969,mama cass elliot,its getting better,46.012
1970,the brotherhood of man,united we stand,46.023
1976,england dan  john ford coley,id really love to see you tonight,46.023
1965,del shannon,keep searchin well follow the sun,46.032
1969,bob dylan,lay lady lay,46.061
1979,the doobie brothers,what a fool believes,46.108
1999,red hot chili peppers,scar tissue,46.154
1980,rocky burnette,tired of toein the line,46.207
1975,ozark mountain daredevils,jackie blue,46.222
1997,madonna,dont cry for me argentina,46.25
1972,todd rundgren,i saw the light,46.277
1992,atlantic starr,masterpiece,46.383
1969,the beatles,come together,46.386
1981,franke and the knockouts,sweetheart,46.405
1993,naughty by nature,hip hop hooray,46.416
1984,zz top,legs,46.429
1989,aerosmith,love in an elevator,46.429
1996,the smashing pumpkins,1979,46.429
1979,commodores,sail on,46.491
1986,arcadia,election day,46.503
2014,eminem featuring rihanna,the monster,46.507
1966,wilson pickett,land of 1000 dances,46.528
1981,kenny rogers,lady,46.528
2003,tim mcgraw,real good man,46.535
2004,alan jackson,remember when,46.561
2014,kenny chesney,american kids,46.565
1979,foreigner,double vision,46.575
1989,richard marx,satisfied,46.591
1965,elvis presley,crying in the chapel,46.667
1969,the box tops,sweet cream ladies,46.667
1992,n2deep,back to the hotel,46.667
1977,rose royce,i wanna get next to you,46.703
1994,tim mcgraw,dont take the girl,46.792
1966,ray charles,crying time,46.835
1987,bruce willis,respect yourself,46.842
1966,bob lind,elusive butterfly,46.86
1988,tiffany,couldve been,46.875
1985,sade,smooth operator,46.89
1965,the miracles,ooo baby baby,46.903
1975,minnie riperton,lovin you,46.923
1997,bruce springsteen,secret garden,46.951
1989,ann wilson and robin zander,surrender to me,46.961
1979,ian matthews,shake it,46.988
1978,crystal gayle,dont it make my brown eyes blue,47.009
1991,another bad creation,iesha,47.011
1972,michael jackson,ben,47.02
1967,every mothers son,come on down to my boat,47.059
1970,the temptations,ball of confusion thats what the world is today,47.077
1967,the royal guardsmen,snoopy vs the red baron,47.085
1996,pearl jam,i got id,47.09
1978,billy joel,just the way you are,47.093
1986,mr mister,kyrie,47.097
2006,gnarls barkley,crazy,47.179
1978,olivia newtonjohn,hopelessly devoted to you,47.2
1973,the isley brothers,that lady,47.222
1995,u2,hold me thrill me kiss me kill me,47.222
1972,the chilites,oh girl,47.264
1969,ray stevens,gitarzan,47.267
1973,clint holmes,playground in my mind,47.273
1981,climax blues band,i love you,47.291
1991,firehouse,love of a lifetime,47.297
2015,rihanna kanye west and paul mccartney,fourfiveseconds,47.347
1986,james brown,living in america,47.35
2000,dr dre featuring snoop dogg,the next episode,47.355
1966,dionne warwick,message to michael,47.368
2003,ruben studdard,flying without wings,47.391
1973,anne murray,dannys song,47.399
1974,elton john,bennie and the jets,47.399
1986,george michael,a different corner,47.399
1973,the carpenters,yesterday once more,47.418
1978,yvonne elliman,if i cant have you,47.445
1968,o c smith,little green apples,47.49
1996,blues traveler,hook,47.514
1974,helen reddy,you and me against the world,47.518
1984,rod stewart,infatuation,47.531
1984,lionel richie,hello,47.531
1996,outkast,elevators me  you,47.547
2011,lil wayne featuring cory gunz,6 foot 7 foot,47.61
1996,keith sweat,twisted,47.619
1997,keith sweat,twisted,47.619
1972,the hollies,long cool woman in a black dress,47.679
1974,joni mitchell,help me,47.701
1998,tatyana ali,daydreamin,47.709
2015,ilovemakonnen featuring drake,tuesday,47.734
1986,janet jackson,what have you done for me lately,47.768
1987,bruce springsteen,brilliant disguise,47.773
1969,james brown,mother popcorn,47.788
1969,jerry butler,only the strong survive,47.791
1974,maria muldaur,midnight at the oasis,47.802
1976,starland vocal band,afternoon delight,47.805
1982,vangelis,chariots of fire,47.826
1993,ice cube,it was a good day,47.853
1981,abba,the winner takes it all,47.872
2001,blake shelton,austin,47.872
1979,linda ronstadt,ooo baby baby,47.899
1977,glen campbell,southern nights,47.917
1992,das efx,they want efx,47.941
1988,terence trent darby,wishing well,47.945
1965,gerry and the pacemakers,ferry cross the mersey,47.967
1974,ray stevens,the streak,48
1982,commodores,oh no,48
1988,richard marx,hold on to the nights,48
1985,murray head,one night in bangkok,48.042
1970,gene chandler,groovy situation,48.12
1990,billy joel,we didnt start the fire,48.124
1973,david bowie,space oddity,48.193
1968,sly  the family stone,dance to the music,48.201
1966,the lovin spoonful,did you ever have to make up your mind,48.214
1971,the stampeders,sweet city woman,48.214
1977,dean friedman,ariel,48.254
1978,michael johnson,bluer than blue,48.256
1997,puff daddy featuring mase,cant nobody hold me down,48.288
1975,ray stevens,misty,48.305
1972,harry chapin,taxi,48.307
1973,seals and crofts,diamond girl,48.315
1980,benny mardones,into the night,48.322
1975,major harris,love wont let me wait,48.352
1987,crowded house,something so strong,48.361
2012,jason aldean,take a little ride,48.361
1987,kenny loggins,meet me half way,48.387
1977,eagles,hotel california,48.397
2006,red hot chili peppers,dani california,48.41
1972,arlo guthrie,city of new orleans,48.418
1973,elton john,daniel,48.428
1992,keith sweat,keep it comin,48.438
1994,aaron hall,i miss you,48.438
2003,michelle branch,are you happy now,48.447
1978,kenny loggins  stevie nicks,whenever i call you friend,48.454
1982,the motels,only the lonely,48.462
1988,the jets,make it real,48.462
1974,paul mccartney and wings,helen wheels,48.498
1977,elvis presley,way down,48.521
1965,patti page,hush hush sweet charlotte,48.529
2012,carrie underwood,blown away,48.538
1982,quincy jones featuring james ingram,one hundred ways,48.571
1965,sonny bono,laugh at me,48.603
1984,prince and the revolution,lets go crazy,48.64
1982,journey,dont stop believin,48.649
1985,phil collins and marilyn martin,separate lives,48.649
2000,kid rock,only god knows why,48.684
1977,carly simon,nobody does it better,48.701
1982,john cougar,hurts so good,48.705
1967,the seekers,georgy girl,48.718
1992,shakespears sister,stay,48.718
1976,starbuck,moonlight feels right,48.78
1965,the seekers,ill never find another you,48.81
2005,gorillaz,feel good inc,48.819
2006,gorillaz,feel good inc,48.819
1981,neil diamond,america,48.824
1995,soul asylum,misery,48.905
1991,deeelite,groove is in the heart,48.936
1986,the outfield,your love,48.947
1986,atlantic starr,secret lovers,48.966
1966,frank sinatra,strangers in the night,48.98
1977,marvin gaye,got to give it up,48.988
1971,ike  tina turner,proud mary,48.993
1991,"queensr""yche",silent lucidity,49.027
1977,jimmy buffett,margaritaville,49.029
1967,the music explosion,little bit o soul,49.045
1969,the youngbloods,get together,49.068
1977,bj thomas,dont worry baby,49.091
1977,abba,dancing queen,49.102
1981,journey,whos crying now,49.102
1992,boyz ii men,its so hard to say goodbye to yesterday,49.18
1977,the marshall tucker band,heard it in a love song,49.189
1983,kenny rogers and sheena easton,weve got tonight,49.189
2006,yung joc featuring nitti,its goin down,49.203
1965,sam the sham and the pharaohs,wooly bully,49.219
1970,frijid pink,the house of the rising sun,49.219
1981,dan fogelberg,same old lang syne,49.231
1967,the buckinghams,dont you care,49.242
1987,lisa lisa and cult jam,head to toe,49.254
1976,gary wright,dream weaver,49.275
1965,the byrds,mr tambourine man,49.286
1993,janet jackson,again,49.302
1994,janet jackson,again,49.302
2007,timbaland featuring onerepublic,apologize,49.315
2008,timbaland featuring onerepublic,apologize,49.315
2008,britney spears,piece of me,49.315
1966,jimmy ruffin,what becomes of the brokenhearted,49.321
1968,sergio mendes,the fool on the hill,49.359
1981,john schneider,its now or never,49.359
1971,perry como,somos novios its impossible,49.367
1980,kenny rogers,you decorated my life,49.375
1990,tom petty,free fallin,49.375
1991,bonnie raitt,something to talk about,49.39
1966,simon  garfunkel,i am a rock,49.398
1977,barry manilow,weekend in new england,49.412
1990,bell biv devoe,poison,49.429
1971,carly simon,thats the way ive always heard it should be,49.438
1972,curtis mayfield,freddies dead,49.49
1986,level 42,something about you,49.554
1995,dangelo,brown sugar,49.565
1997,madonna,you must love me,49.635
1972,don mclean,vincent,49.66
1969,sammy davis jr,ive gotta be me,49.669
1995,elton john,believe,49.669
1965,roger miller,king of the road,49.708
1981,john cougar,aint even done with the night,49.708
1974,the stylistics,you make me feel brand new,49.735
2005,the click five,just the girl,49.767
1965,petula clark,downtown,49.793
1997,warren g,i shot the sheriff,49.839
1974,jim stafford,wildwood weed,49.844
1999,r kelly,when a womans fed up,49.849
1966,the turtles,you baby,50
1969,bj thomas,hooked on a feeling,50
1970,bread,make it with you,50
1971,joan baez,the night they drove old dixie down,50
1971,andy williams,where do i begin love story,50
1973,albert hammond,it never rains in southern california,50
1975,styx,lady,50
1977,stephen bishop,on and on,50
1983,men at work,its a mistake,50
1984,billy joel,the longest time,50
1985,bruce springsteen,born in the usa,50
1985,survivor,the search is over,50
1986,the bangles,manic monday,50
1989,warrant,heaven,50
2015,nicki minaj featuring drake and lil wayne,truffle butter,50
1977,kenny rogers,lucille,50.169
1994,tom petty and the heartbreakers,mary janes last dance,50.19
1993,peabo bryson and regina belle,a whole new world,50.192
2005,green day,holiday,50.211
1989,tone loc,funky cold medina,50.214
1986,cameo,word up,50.226
1974,elton john,goodbye yellow brick road,50.239
2015,sam smith,lay me down,50.246
1992,michael bolton,when a man loves a woman,50.256
1985,billy ocean,suddenly,50.279
2003,chingy featuring ludacris and snoop dogg,holidae in,50.293
2004,chingy featuring ludacris and snoop dogg,holidae in,50.293
1991,tara kemp,hold you tight,50.314
1996,eric clapton,change the world,50.336
1997,eric clapton,change the world,50.336
1986,toto,ill be over you,50.345
1993,soul asylum,runaway train,50.365
2001,u2,beautiful day,50.376
1966,the mamas  the papas,california dreamin,50.42
1965,roy head,treat her right,50.427
1997,michael bolton,go the distance,50.427
1981,blondie,rapture,50.435
1978,the rolling stones,miss you,50.442
2014,jake owen,beachin,50.446
1973,steely dan,do it again,50.463
1965,barry mcguire,eve of destruction,50.512
2005,toby keith,as good as i once was,50.571
1991,dna featuring suzanne vega,toms diner,50.607
1980,billy joel,its still rock and roll to me,50.637
1993,jodeci,lately,50.698
1999,goo goo dolls,black balloon,50.704
1984,michael jackson,thriller,50.718
2003,coldplay,clocks,50.718
1978,linda ronstadt,blue bayou,50.732
1982,eddie money,think im in love,50.735
2003,missy elliott featuring ludacris,gossip folks,50.738
1991,dj jazzy jeff  the fresh prince,summertime,50.76
1966,bobby darin,if i were a carpenter,50.781
1984,kenny loggins,footloose,50.8
1976,larry groce,junk food junkie,50.847
1973,donny osmond,the twelfth of never,50.862
1966,robert parker,barefootin,50.867
2003,mark wills,19 somethin,50.883
2005,weezer,beverly hills,50.893
1988,richard marx,shouldve known better,50.909
1984,bruce springsteen,cover me,50.943
1998,mariah carey,my all,50.943
2012,eric church,springsteen,50.962
1975,paul anka,i dont like to sleep alone,50.968
1971,five man electrical band,signs,51.007
2004,terror squad,lean back,51.01
1969,creedence clearwater revival,bad moon rising,51.034
1965,the supremes,back in my arms again,51.055
2001,dave matthews band,the space between,51.064
1967,ray charles,here we go again,51.087
1967,the supremes,the happening,51.087
1971,the rolling stones,brown sugar,51.124
1976,electric light orchestra,evil woman,51.128
1983,lionel richie,truly,51.128
1978,leblanc  carr,falling,51.163
1996,r kelly,i cant sleep baby if i,51.163
1998,lord tariq and peter gunz,deja vu uptown baby,51.163
2008,lil wayne,a milli,51.167
1997,paula cole,where have all the cowboys gone,51.172
1972,commander cody and his lost planet airmen,hot rod lincoln,51.183
1981,george harrison,all those years ago,51.185
1966,bobby hebb,sunny,51.19
1974,golden earring,radar love,51.19
1981,juice newton,angel of the morning,51.196
2004,toby keith,american soldier,51.237
1967,strawberry alarm clock,incense and peppermints,51.25
2006,snow patrol,chasing cars,51.25
2007,snow patrol,chasing cars,51.25
1972,three dog night,black and white,51.261
1989,fine young cannibals,good thing,51.266
1968,the rascals,people got to be free,51.292
2011,kenny chesney featuring grace potter,you and tequila,51.323
1971,lobo,me and you and a dog named boo,51.327
1996,mc lyte featuring xscape,keep on keepin on,51.351
1972,betty wright,clean up woman,51.364
1985,phil collins,sussudio,51.37
1982,john cougar,jack  diane,51.373
1971,matthews southern comfort,woodstock,51.376
2014,idina menzel,let it go,51.42
2008,trace adkins,youre gonna miss this,51.429
1993,cypress hill,insane in the brain,51.444
1966,johnny rivers,secret agent man,51.445
2002,dixie chicks,long time gone,51.462
1991,stevie b,because i love you the postman song,51.471
1975,ohio players,fire,51.485
1988,whitney houston,so emotional,51.497
1973,sylvia,pillow talk,51.515
2013,lady antebellum,downtown,51.538
1999,sarah mclachlan,angel,51.598
1967,aretha franklin,i never loved a man the way i love you,51.613
1969,the ventures,hawaii fiveo,51.613
1969,the flying machine,smile a little smile for me,51.613
1968,otis redding,sittin on the dock of the bay,51.648
2002,dj sammy featuring yanou and do,heaven,51.653
1979,rickie lee jones,chuck es in love,51.661
1975,sugarloaf,dont call us well call you,51.667
2002,big tymers,still fly,51.667
1975,david bowie,fame,51.678
1969,elvis presley,in the ghetto,51.681
1979,donna summer,bad girls,51.695
1987,smokey robinson,just to see her,51.701
1976,glen campbell,country boy you got your feet in la,51.709
1987,fleetwood mac,big love,51.724
1987,the system,dont disturb this groove,51.739
2001,diamond rio,one more day,51.748
1995,luniz,i got 5 on it,51.762
2013,miranda lambert,mamas broken heart,51.768
1989,gloria estefan,dont wanna lose you,51.777
1983,patti austin and james ingram,baby come to me,51.786
1985,bryan adams,summer of 69,51.793
1967,tom jones,green green grass of home,51.832
1980,kenny rogers,coward of the county,51.843
1965,brenda lee,too many rivers,51.852
1972,alice cooper,schools out,51.852
1994,da brat,funkdafied,51.87
1982,bertie higgins,key largo,51.872
1986,starpoint,object of my desire,51.872
1969,the cowsills,hair,51.877
1978,kansas,dust in the wind,51.88
1995,michael jackson and janet jackson,scream,51.88
1989,tone loc,wild thing,51.893
1966,donovan,sunshine superman,51.899
1966,deon jackson,love makes the world go round,51.899
1974,charlie rich,a very special love song,51.899
1988,the escape club,wild wild west,51.905
1981,marty balin,hearts,51.913
1977,kenny nolan,i like dreamin,51.915
1970,mark lindsay,arizona,51.931
1982,roberta flack,making love,51.938
1971,the carpenters,for all we know,51.961
1981,rosanne cash,seven year ache,51.969
1985,bruce springsteen,glory days,51.971
2005,trick daddy featuring ludacris lil kim and cee lo green,sugar gimme some,51.976
1970,bj thomas,raindrops keep fallin on my head,51.977
1972,the main ingredient,everybody plays the fool,51.982
1984,billy joel,an innocent man,51.989
1968,the troggs,love is all around,52
1975,al green,shalala make me happy,52
1993,restless heart,when she cries,52
2006,dem franchize boyz featuring jermaine dupri da brat and bow wow,i think they like me,52.02
1971,the temptations,just my imagination running away with me,52.036
1994,warren g featuring nate dogg,regulate,52.052
1995,junior mafia featuring the notorious big,players anthem,52.063
1995,corona,the rhythm of the night,52.071
1989,samantha fox,i wanna have some fun,52.083
1991,poison,something to believe in,52.099
2014,bobby shmurda,hot boy,52.099
1992,tlc,aint 2 proud 2 beg,52.113
2005,the game featuring 50 cent,how we do,52.122
2003,norah jones,dont know why,52.143
1992,shanice,i love your smile,52.206
1968,bobby goldsboro,honey,52.212
1972,joe simon,drowning in the sea of love,52.232
1992,richard marx,take this heart,52.261
1989,debbie gibson,lost in your eyes,52.273
1973,diana ross,touch me in the morning,52.28
1996,ll cool j,hey lover,52.284
1984,john cougar mellencamp,pink houses,52.29
2000,george strait,the best day,52.297
1987,survivor,is this love,52.313
2006,beyonce featuring jayz,dej`a vu,52.323
1987,europe,carrie,52.326
1971,al green,tired of being alone,52.336
1972,gallery,nice to be with you,52.364
1996,jewel,who will save your soul,52.395
1981,john lennon,woman,52.41
2003,john mayer,your body is a wonderland,52.423
1982,dan fogelberg,leader of the band,52.431
1969,the rolling stones,honky tonk women,52.459
2006,james blunt,youre beautiful,52.459
2008,kanye west featuring dwele,flashing lights,52.464
1975,frankie valli,my eyes adored you,52.5
2002,five for fighting,superman its not easy,52.511
1978,robert palmer,every kinda people,52.551
1979,the pointer sisters,fire,52.551
2002,john mayer,no such thing,52.56
1967,the young rascals,how can i be sure,52.571
1990,michelle,no more lies,52.577
1991,tesla,signs,52.581
1973,john denver,rocky mountain high,52.589
1975,leo sayer,long tall glasses,52.593
1997,dru hill,in my bed,52.593
2013,jay z featuring justin timberlake,holy grail,52.599
1999,pearl jam,last kiss,52.653
1971,the carpenters,superstar,52.672
1967,bobby vinton,please love me forever,52.679
1983,joe jackson,steppin out,52.747
2001,eve featuring gwen stefani,let me blow ya mind,52.753
1970,simon  garfunkel,bridge over troubled water,52.761
1998,loreena mckennitt,the mummers dance,52.766
1983,bob seger  the silver bullet band,shame on the moon,52.792
1968,sergio mendes,the look of love,52.795
1989,milli vanilli,baby dont forget my number,52.795
2010,paramore,the only exception,52.8
1982,billy idol,hot in the city,52.804
1972,the stylistics,betcha by golly wow,52.809
2007,taylor swift,teardrops on my guitar,52.817
2008,taylor swift,teardrops on my guitar,52.817
1990,gloria estefan,here we are,52.823
1975,jethro tull,bungle in the jungle,52.837
1995,melissa etheridge,im the only one,52.863
2003,kenny chesney,no shoes no shirt no problems,52.866
1979,melissa manchester,dont cry out loud,52.889
